id,label
0,positive
1,positive
2,positive
3,positive
4,positive
5,positive
6,positive
7,positive
8,positive
9,positive
10,positive
11,positive
12,positive
13,positive
14,positive
15,positive
16,positive
17,positive
18,positive
19,positive
20,positive
21,positive
22,positive
23,positive
24,positive
25,positive
26,positive
27,positive
28,positive
29,positive
30,positive
31,positive
32,positive
33,positive
34,positive
35,positive
36,positive
37,positive
38,positive
39,positive
40,positive
41,positive
42,positive
43,positive
44,positive
45,positive
46,positive
47,positive
48,positive
49,positive
50,positive
51,positive
52,positive
53,positive
54,positive
55,positive
56,positive
57,positive
58,positive
59,positive
60,positive
61,positive
62,positive
63,positive
64,positive
65,positive
66,positive
67,positive
68,positive
69,positive
70,positive
71,positive
72,positive
73,positive
74,positive
75,positive
76,positive
77,positive
78,positive
79,positive
80,positive
81,positive
82,positive
83,positive
84,positive
85,positive
86,positive
87,positive
88,positive
89,positive
90,positive
91,positive
92,positive
93,positive
94,positive
95,positive
96,positive
97,positive
98,positive
99,positive
100,positive
101,positive
102,positive
103,positive
104,positive
105,positive
106,positive
107,positive
108,positive
109,positive
110,positive
111,positive
112,positive
113,positive
114,positive
115,positive
116,positive
117,positive
118,positive
119,positive
120,positive
121,positive
122,positive
123,positive
124,positive
125,positive
126,positive
127,positive
128,positive
129,positive
130,positive
131,positive
132,positive
133,positive
134,positive
135,positive
136,positive
137,positive
138,positive
139,positive
140,positive
141,positive
142,positive
143,positive
144,positive
145,positive
146,positive
147,positive
148,positive
149,positive
150,positive
151,positive
152,positive
153,positive
154,positive
155,positive
156,positive
157,positive
158,positive
159,positive
160,positive
161,positive
162,positive
163,positive
164,positive
165,positive
166,positive
167,positive
168,positive
169,positive
170,neutral
171,neutral
172,neutral
173,neutral
174,neutral
175,neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,neutral
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,neutral
197,neutral
198,neutral
199,neutral
200,neutral
201,neutral
202,neutral
203,neutral
204,neutral
205,neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,neutral
211,neutral
212,neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,neutral
220,neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,neutral
226,neutral
227,neutral
228,neutral
229,neutral
230,neutral
231,neutral
232,neutral
233,neutral
234,neutral
235,neutral
236,neutral
237,neutral
238,neutral
239,neutral
240,neutral
241,neutral
242,neutral
243,neutral
244,neutral
245,neutral
246,neutral
247,neutral
248,neutral
249,neutral
250,neutral
251,neutral
252,neutral
253,neutral
254,neutral
255,neutral
256,neutral
257,neutral
258,neutral
259,neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,neutral
266,neutral
267,neutral
268,neutral
269,neutral
270,neutral
271,neutral
272,neutral
273,neutral
274,neutral
275,neutral
276,neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,neutral
283,neutral
284,neutral
285,neutral
286,neutral
287,neutral
288,neutral
289,neutral
290,neutral
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,neutral
306,neutral
307,neutral
308,neutral
309,neutral
310,neutral
311,neutral
312,neutral
313,neutral
314,neutral
315,neutral
316,neutral
317,neutral
318,neutral
319,neutral
320,neutral
321,neutral
322,neutral
323,neutral
324,neutral
325,neutral
326,neutral
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,neutral
333,neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,negative
341,negative
342,negative
343,negative
344,negative
345,negative
346,negative
347,negative
348,negative
349,negative
350,negative
351,negative
352,negative
353,negative
354,negative
355,negative
356,negative
357,negative
358,negative
359,negative
360,negative
361,negative
362,negative
363,negative
364,negative
365,negative
366,negative
367,negative
368,negative
369,negative
370,negative
371,negative
372,negative
373,negative
374,negative
375,negative
376,negative
377,negative
378,negative
379,negative
380,negative
381,negative
382,negative
383,negative
384,negative
385,negative
386,negative
387,negative
388,negative
389,negative
390,negative
391,negative
392,negative
393,negative
394,negative
395,negative
396,negative
397,negative
398,negative
399,negative
400,negative
401,negative
402,negative
403,negative
404,negative
405,negative
406,negative
407,negative
408,negative
409,negative
410,negative
411,negative
412,negative
413,negative
414,negative
415,negative
416,negative
417,negative
418,negative
419,negative
420,negative
421,negative
422,negative
423,negative
424,negative
425,negative
426,negative
427,negative
428,negative
429,negative
430,negative
431,negative
432,negative
433,negative
434,negative
435,negative
436,negative
437,negative
438,negative
439,negative
440,negative
441,negative
442,negative
443,negative
444,negative
445,negative
446,negative
447,negative
448,negative
449,negative
450,negative
451,negative
452,negative
453,negative
454,negative
455,negative
456,negative
457,negative
458,negative
459,negative
460,negative
461,negative
462,negative
463,negative
464,negative
465,negative
466,negative
467,negative
468,negative
469,negative
470,negative
471,negative
472,negative
473,negative
474,negative
475,negative
476,negative
477,negative
478,negative
479,negative
480,negative
481,negative
482,negative
483,negative
484,negative
485,negative
486,negative
487,negative
488,negative
489,negative
490,negative
491,negative
492,negative
493,negative
494,negative
495,negative
496,negative
497,negative
498,negative
499,negative
500,negative
501,negative
502,negative
503,negative
504,negative
505,negative
506,negative
507,negative
508,negative
509,negative
